Mean endogenous RPM,Mean Reporter RPM
178.9402,1191.169
208.283,671.2635
594.0642,1105.716
474.7876,1122.952
1141.9,1134.102
189.0702,1057.759
155.1261,1537.741
22.98928,622.029
266.5913,1009.669
387.9595,1581.105
191.0254,1212.191
298.3244,1325.882
935.21,1396.389
47.4617,1339.824
858.9643,236.4228
210.6977,998.4612
182.4739,876.0083
389.4123,1567.179
303.3866,1151.855
192.1097,1303.734
179.7801,1085.226
0,205.2021
0,343.2657
0,210.2134
0,253.0755
0,225.5412
0,68.77347
0,125.5245
0,654.1886
0.144943,284.2531
2.24275,403.8927
0,208.0391
0,243.283
0,453.3191
0.675621,225.0278
0,284.5239
4.628813,374.2333
104.4135,513.4593
1.616294,316.1478
0.566149,602.8528
14.08286,276.2679
0.175261,158.4092
601.8582,417.2611
187.1484,218.0481
1206.228,893.1086
665.6176,500.627
600.6553,443.6592
1286.378,768.6849
920.592,582.1806
721.7994,387.1141
532.1946,475.5483
640.9197,370.9077
834.2075,626.4611
442.5348,477.73
659.2831,392.0139
584.54,469.6495
888.3967,509.897
700.5608,675.5969
687.9108,548.1054
399.343,253.1956
767.6105,696.8275
1052.87,822.0742
373.4017,410.6407
459.9514,523.7158
1381.791,1443.475
625.0842,909.8891
837.6005,478.2296
862.8188,1484.381
1409.78,1462.314
856.4734,575.6388
889.9429,503.5829
1510.591,1198.043
652.2731,1499.569
1131.742,403.6383
639.5166,1546.313
1455.75,1612.794
116.9159,1210.336
1008.307,1446.531
1299.792,728.8373
50.97537,1171.808
803.3687,848.1963
2033.995,1394.95
852.0285,424.662
1705.816,1717.396
681.2691,1346.499
1108.821,1666.481
178.0473,393.1413
1627.584,755.3939
372.4011,933.8163
1119.696,1147.432
863.7938,667.7467
2207.962,561.9081
430.7032,1841.317
30.46577,202.5724
1345.801,686.0377
344.8654,599.4204
1148.675,720.8266
1195.348,925.288
2141.001,1455.59
762.5005,1070.199
1487.29,968.8714
1720.127,1602.523
1557.7,2047.919
1053.11,961.5763
955.1303,1122.709
112.1628,413.3097
2860.947,1078.763
771.3192,637.7846
2429.349,1553.577
2420.878,694.2413
2556.28,1000.974
3731.953,930.5367
1546.014,498.2679
1781.195,1021.185
1371.747,1211.616
2028.846,981.4386
3025.169,839.8498
2439.221,906.1211
876.5984,763.826
4615.805,1314.285
4918.168,1149.756
344.5895,488.0429
2307.974,1006.785
4357.13,999.5511
4530.279,733.0408
1111.473,705.1573
239.9362,118.3842
389.7974,125.1081
689.7493,908.9095
2219.267,416.254
534.2568,757.2925
465.846,244.6862
1001.78,487.1635
177.0266,172.5413
653.7028,473.5375
356.4853,398.4808
4065.208,580.6636
727.216,325.692
573.7464,389.19
591.2942,546.7823
267.7331,509.7373
672.1161,487.278
1257.982,422.8281
692.2663,327.2994
779.2169,632.5824
1115.05,684.269
562.4555,616.6911
1786.668,330.8756
643.164,418.6082
85.3337,835.1922
1974.786,294.5514
813.4745,287.9863
922.3435,337.4419
1709.087,147.9139
2478.369,596.4806
238.5503,715.6327
316.2927,605.9856
2240.648,521.4674
1492.254,210.273
1111.128,861.3952
161.3983,549.3667
2147.506,560.2235
1232.457,188.1066
737.3565,434.2265
573.5951,157.4803
1782.752,400.9087
1845.453,493.941
1050.639,854.6781
281.2807,832.2701
304.3279,991.8043
110.1617,151.2128
253.6315,488.8861
662.3547,468.9775
304.8946,586.0604
17.80102,340.3418
638.2428,728.4858
30.82034,308.5794
27.47055,273.189
76.51627,183.5902
1144.307,524.5148
1107.103,570.6229
1521.581,249.151
1217.015,521.9506
51.77773,78.92592
328.5922,433.7427
304.3879,1062.757
225.5088,1194.892
368.2815,610.9185
127.4295,790.777
890.701,311.0613
338.9375,335.6785
55.54422,202.5633
355.8398,328.0583
22.24402,188.3909
88.91586,136.2252
541.8532,170.5768
487.7336,591.4814
625.4543,1277.44
444.2242,1074.925
529.4263,822.1966
381.0781,240.57
43.06234,118.8658
62.86644,290.0673
28.47579,167.3631
398.3429,261.6322
228.7331,392.5295
15.74069,193.1635
40.78933,168.2277
197.903,174.8086
56.96417,127.7385
948.3462,716.4243
1118.163,891.8788
1558.482,739.3561
1028.913,786.0926
2970.413,909.1031
653.3842,961.9749
1127.421,1076.294
1738.505,649.4326
549.7044,1094.858
65.11624,303.8563
1611.075,783.4907
1396.954,633.3353
1407.388,1062.139
48.55092,320.1703
1890.651,639.1833
464.1961,372.2405
2006.307,942.4269
2429.379,1334.187
1685.236,1074.11
1662.232,686.4262
1091.525,858.1167
405.1205,844.3465
474.0524,1031.335
473.7068,821.2892
477.5674,667.1104
912.5177,1221.104
2043.908,985.764
1056.155,676.9032
913.0069,1095.567
4111.754,1160.71
740.9877,693.5543
1478.414,1050.1
444.5857,666.8861
431.3245,1222.121
1331.626,831.5172
3823.375,1151.847
426.9825,809.7133
1226.675,805.7791
2060.169,1276.704
0,634.63
1123.908,942.8632
698.9601,899.3527
751.5515,775.8384
253.0528,743.4222
409.7505,1051.867
2127.745,1011.457
820.5041,562.3918
204.9865,1023.677
548.3451,478.8725
872.6384,732.8263
841.4889,635.3264
341.5358,849.2066
562.5851,556.614
1559.508,869.3146
971.1333,675.4027
487.0306,1142.011
1703.321,571.793
603.888,530.4847
904.8771,879.33
679.1277,1045.222
895.8991,765.0604
695.7269,728.8022
166.0802,1045.233
1302.892,1058.527
232.9422,239.3945
408.1355,461.8928
1575.391,599.5018
1944.771,629.671
543.1771,346.8683
1309.127,655.6968
1957.99,669.1428
1007.839,553.1018
2152.752,843.4524
2420.299,1276.971
610.1901,445.115
263.4688,469.9181
383.8383,318.7448
1056.346,518.26
1464.615,685.385
988.1704,713.7074
164.8484,445.5207
309.1413,202.4198
1420.025,965.7607
317.1455,975.0799
536.1762,517.146
1145.476,1062.118
1873.246,823.0261
589.5284,879.7459
919.0321,1201.634
931.8199,1014.734
1142.011,827.7406
1329.975,1562.633
1257.175,925.5229
1888.03,585.2231
342.8888,588.1134
675.8024,1197.808
1766.517,492.9537
1658.262,645.3704
5495.923,1014.351
1262.097,922.8292
890.2671,821.4715
705.7335,716.6545
1483.532,1119.612
2873.653,1005.608
739.0723,1020.413
4168.565,1100.727
2344.913,1509.779
723.351,882.5805
3601.779,900.8735
1208.768,833.9499
2123.082,851.0122
4008.74,1039.367
4314.486,746.5137
2195.389,1170.618
2750.669,1397.454
3886.763,964.058
5052.771,1059.569
815.7172,757.296
652.401,780.6788
1169.866,1138.33
5004.673,796.8639
4048.249,1080.717
2776.501,1187.6
926.6733,1086.187
5858.336,1214.413
1947.882,1130.94
333.7665,265.9665
6.557485,46.20232
132.8862,46.91167
421.4575,271.9493
247.6106,267.1221
