Mean endogenous RPM,Mean Reporter RPM*Mean Reporter Edit fraction
178.9402,71.75334
208.283,68.25835
594.0642,331.2989
474.7876,52.19779
1141.9,186.8567
189.0702,150.4628
155.1261,112.2921
22.98928,25.66405
266.5913,249.0358
387.9595,374.7028
191.0254,110.4577
298.3244,359.6274
935.21,293.2037
47.4617,148.1628
858.9643,4.791059
210.6977,187.2432
182.4739,32.56464
389.4123,321.2972
303.3866,236.5752
192.1097,161.8675
179.7801,207.5356
0,0
0,37.21166
0,0
0,0.735919
0,0
0,0
0,0
0,0
0.144943,0
2.24275,0
0,0
0,0
0,0
0.675621,26.37892
0,0
4.628813,8.359654
104.4135,2.49693
1.616294,2.07942
0.566149,0
14.08286,0
0.175261,0
601.8582,0
187.1484,5.27515
1206.228,22.10154
665.6176,1.2897
600.6553,12.57403
1286.378,12.24935
920.592,8.276683
721.7994,2.731766
532.1946,0
640.9197,0
834.2075,3.357289
442.5348,123.772
659.2831,0
584.54,0
888.3967,24.87045
700.5608,206.7387
687.9108,1.849345
399.343,4.812256
767.6105,36.62496
1052.87,0.343344
373.4017,0.915173
459.9514,27.86391
1381.791,189.3438
625.0842,7.216019
837.6005,16.74332
862.8188,19.48255
1409.78,53.1384
856.4734,56.60272
889.9429,2.645664
1510.591,9.790407
652.2731,68.71576
1131.742,8.704847
639.5166,7.8509
1455.75,10.65462
116.9159,2.995764
1008.307,6.231478
1299.792,14.77656
50.97537,0
803.3687,9.526233
2033.995,11.897
852.0285,21.98315
1705.816,88.2197
681.2691,495.4522
1108.821,153.4837
178.0473,0
1627.584,42.4553
372.4011,61.73508
1119.696,699.0336
863.7938,346.8326
2207.962,102.7049
430.7032,119.159
30.46577,0
1345.801,144.3314
344.8654,173.0321
1148.675,81.73142
1195.348,116.5368
2141.001,91.63132
762.5005,309.7413
1487.29,518.9089
1720.127,543.4849
1557.7,388.847
1053.11,73.78058
955.1303,534.4454
112.1628,77.08475
2860.947,261.5629
771.3192,136.002
2429.349,110.8161
2420.878,149.1001
2556.28,309.7482
3731.953,383.8435
1546.014,4.985325
1781.195,245.6594
1371.747,206.6771
2028.846,112.8819
3025.169,386.1904
2439.221,550.4444
876.5984,229.4926
4615.805,462.2364
4918.168,784.7952
344.5895,21.60796
2307.974,343.4855
4357.13,129.9428
4530.279,84.14599
1111.473,261.5257
239.9362,52.87134
389.7974,28.91937
689.7493,217.6075
2219.267,0
534.2568,12.88408
465.846,2.596547
1001.78,43.07334
177.0266,11.24209
653.7028,108.1021
356.4853,54.30073
4065.208,24.33507
727.216,117.5379
573.7464,33.31931
591.2942,66.06439
267.7331,9.758837
672.1161,64.78387
1257.982,162.9998
692.2663,15.39249
779.2169,172.5532
1115.05,183.3833
562.4555,30.52845
1786.668,275.3458
643.164,62.46199
85.3337,15.97994
1974.786,95.97159
813.4745,53.64243
