Control,Stop,Synonymous,Missense
-2.58626,-6.28595,-2.92771,-5.97012
-2.27934,-5.71356,-2.74232,-5.83798
-1.83818,-5.28649,-2.48794,-5.61268
-1.80711,-5.02028,-1.97927,-5.57486
-1.69761,-4.99818,-1.88846,-5.38348
-1.63028,-4.98185,-1.85583,-5.16872
-1.53769,-4.94099,-1.83793,-5.0482
-1.28904,-4.91396,-1.72183,-5.04677
-1.18696,-4.73897,-1.7141,-5.04559
-1.17136,-4.67925,-1.5902,-4.94964
-1.16894,-4.60209,-1.57434,-4.93341
-1.1377,-4.45537,-1.56108,-4.91709
-1.00992,-4.42607,-1.53381,-4.8956
-0.98923,-4.41106,-1.47452,-4.82153
-0.85191,-4.40844,-1.46218,-4.78904
-0.82908,-4.35834,-1.44672,-4.71609
-0.81588,-4.35338,-1.42608,-4.66149
-0.71035,-4.30438,-1.37924,-4.65304
-0.69961,-4.28745,-1.31265,-4.6503
-0.68946,-4.28326,-1.21297,-4.63574
-0.66767,-4.27709,-1.20591,-4.53352
-0.64786,-4.27184,-1.19987,-4.5116
-0.63365,-4.18543,-1.1981,-4.48557
-0.61749,-4.1584,-1.16927,-4.47384
-0.5982,-4.09207,-1.16662,-4.36094
-0.59472,-4.07312,-1.13953,-4.33658
-0.5938,-4.05565,-1.12726,-4.31992
-0.57517,-4.03215,-1.12488,-4.28408
-0.53375,-3.97301,-1.11435,-4.22066
-0.49828,-3.91139,-1.10686,-4.19383
-0.4951,-3.89326,-1.08365,-4.16706
-0.4699,-3.88394,-1.02725,-4.12157
-0.4061,-3.87807,-1.00092,-4.08139
-0.37871,-3.84912,-0.99053,-4.06174
-0.35107,-3.84903,-0.98121,-4.0595
-0.30928,-3.81199,-0.96831,-4.03762
-0.28955,-3.78709,-0.92362,-4.02942
-0.26938,-3.76003,-0.91839,-4.00276
-0.24353,-3.73974,-0.90693,-3.95441
-0.21139,-3.6792,-0.89774,-3.93379
-0.20254,-3.66475,-0.89057,-3.92152
-0.20162,-3.5938,-0.86286,-3.91352
-0.1658,-3.57604,-0.86078,-3.87009
-0.123,-3.56598,-0.84218,-3.84601
-0.07765,-3.53639,-0.82477,-3.83322
-0.07587,-3.52806,-0.81252,-3.8203
-0.05171,-3.50965,-0.79437,-3.80743
-0.03864,-3.50285,-0.7847,-3.76015
-0.03787,-3.46184,-0.77735,-3.76009
-0.03066,-3.44888,-0.77719,-3.71658
-0.01987,-3.43641,-0.77187,-3.70221
0.031974,-3.42879,-0.74561,-3.66805
0.037922,-3.41525,-0.73671,-3.65973
0.105265,-3.40766,-0.71526,-3.63571
0.109927,-3.40182,-0.70522,-3.62346
0.133824,-3.39007,-0.68882,-3.60758
0.13465,-3.37501,-0.68229,-3.5822
0.171914,-3.3741,-0.66726,-3.57431
0.183008,-3.34621,-0.64987,-3.5679
0.183487,-3.33967,-0.62846,-3.56611
0.195536,-3.32867,-0.62573,-3.56478
0.195861,-3.30562,-0.621,-3.55298
0.209324,-3.24836,-0.60645,-3.55189
0.217751,-3.2421,-0.59665,-3.53525
0.226309,-3.2153,-0.56779,-3.52317
0.253797,-3.20536,-0.56244,-3.52163
0.273845,-3.19613,-0.54719,-3.5119
0.279807,-3.17949,-0.53956,-3.50696
0.284107,-3.16705,-0.53534,-3.50611
0.301134,-3.16613,-0.52567,-3.49356
0.309861,-3.14391,-0.51454,-3.45093
0.319025,-3.13628,-0.51008,-3.42106
0.321018,-3.09508,-0.49681,-3.41489
0.327594,-3.08834,-0.48828,-3.40961
0.334549,-3.08331,-0.46399,-3.39108
0.375268,-3.07093,-0.45634,-3.38954
0.380661,-3.05212,-0.44621,-3.36496
0.411928,-3.04453,-0.41562,-3.36378
0.412414,-3.01505,-0.4081,-3.35567
0.422091,-2.98923,-0.40479,-3.34758
0.433482,-2.9801,-0.3743,-3.3358
0.437665,-2.93736,-0.35682,-3.33122
0.489756,-2.93666,-0.3494,-3.32114
0.50407,-2.93258,-0.34791,-3.30009
0.509123,-2.92573,-0.34641,-3.29979
0.585588,-2.92225,-0.34539,-3.28589
0.595695,-2.90762,-0.34035,-3.27378
0.636233,-2.90203,-0.33652,-3.25846
0.644011,-2.90087,-0.33194,-3.25278
0.65358,-2.84073,-0.33068,-3.2282
0.676419,-2.81304,-0.32396,-3.21774
0.683893,-2.80456,-0.31292,-3.18965
0.690338,-2.7805,-0.30546,-3.17749
0.700138,-2.77085,-0.30376,-3.17709
0.710943,-2.76465,-0.29988,-3.17692
0.745721,-2.75448,-0.2969,-3.17191
0.780288,-2.74731,-0.2936,-3.16633
0.788378,-2.74247,-0.29233,-3.15796
0.825388,-2.6955,-0.29146,-3.15358
0.921307,-2.688,-0.2751,-3.14812
0.932719,-2.68687,-0.27114,-3.14734
0.951322,-2.68197,-0.26356,-3.10088
0.95189,-2.67376,-0.26323,-3.09638
0.974976,-2.67313,-0.26275,-3.07685
1.011079,-2.66267,-0.24892,-3.0716
1.012653,-2.66254,-0.23216,-3.06845
1.016033,-2.6409,-0.21905,-3.06143
1.066173,-2.62875,-0.206,-3.06119
1.071589,-2.62205,-0.20422,-3.04245
1.085211,-2.61836,-0.1949,-3.04159
1.091392,-2.61498,-0.18135,-3.02559
1.098151,-2.59705,-0.17654,-3.0205
