,R1_bulk,R1_T20,R1_T40,R1_B20,R1_B40,R2_bulk,R2_T20,R2_T40,R2_B20,R2_B40,R3_bulk,R3_T20,R3_T40,R3_B20,R3_B40,R4_bulk,R4_T20,R4_T40,R4_B20,R4_B40
,230.2,249.2,223.2,208.5,212.2,269.7,227.9,186.3,212,154.7,169.5,199.2,179.8,165.5,181.4,145.9,197.2,159.8,205.9,179.9
,364.4,367.9,394.3,420,360.2,350.3,428.9,395.3,355.6,400.8,432.4,455.5,413.9,402.2,390,455.6,462.1,557.7,386.5,468.5
,341.5,337.4,397.1,362,321.8,331.5,363,356.7,266.9,235.5,336.6,269.1,293.7,328.7,322.9,234.1,258.8,210,204.4,237.7
,162.4,182.3,243.7,201.5,251,173.8,267.6,221.4,180.8,126.8,144.9,155.6,109.5,168.8,176.1,237.3,169.2,204.2,124.3,204.5
,59.3,52,102.3,63.6,39.6,39.3,92.4,67.8,47.7,83.3,58.8,31.4,72.7,56.8,41.2,57.2,64,49.1,55,63.1
,38.6,67.4,30.1,57.1,21.4,70.7,61.6,83.1,89.6,51,90.7,61.3,71.6,93.7,50.6,48.4,43.2,58.5,41.7,54.5
,92.2,100.8,113.1,97.2,85.5,55.2,67.3,67.3,38.4,65.2,79.9,95.4,94.6,58.8,63.2,88.2,133.5,62.7,103,76.2
,110.4,178.5,121.3,137.6,151.2,168.6,120.3,142.6,155.7,133.6,240.3,189.4,207.1,213.7,222.1,167.7,153.6,137.2,94.6,141.4
,103.8,153.5,80.5,139.6,142.2,153.7,153.4,137.3,131.7,140.4,132.9,156.5,154.5,124.4,148.3,148.6,162.9,111.5,105.1,130.8
,233.6,221,248.2,238.9,194.3,199.6,166.7,223.9,208.6,274.7,242.1,290,322.6,246.1,246.2,192.7,199.8,254.1,199.8,247.6
,175.6,145.7,134.8,207.7,216.5,176.8,124.6,167.4,126.5,154.7,216.3,170,180.3,186,175,142.6,152.2,184.7,227.3,164
,162.1,109.8,164.1,157.9,208.7,158.3,106.1,147.5,124.2,165.3,160.4,191.1,199.7,238.1,185.5,142.1,108.7,109.9,114.1,87.3
,168.7,163.1,177.3,142,150.4,166.2,138.8,165.1,147.3,128,147.5,197.1,134,176.6,116.4,185.1,147.6,219.4,160.2,165.6
,293.5,251,243.4,319.3,199.4,250.2,266.6,283.4,249.3,187,326.4,248,221.9,207.9,229.3,233,311.9,315.3,240.9,318.9
,85.3,131.8,76.7,73.9,82,158,117.5,130.2,204.8,91.3,62.1,96.7,130.6,151.1,126.2,116.5,118.8,115.3,63.7,71.3
,78.1,90.7,93,70.1,78.5,55.2,61.9,66.8,54,116.8,46.3,67.9,58.8,47.1,104.6,95.3,132.3,94.3,43.9,52.1
,140.8,127.5,181.4,124.6,116.2,123.6,202.5,145.6,147.6,136.1,162.5,175.6,107.4,112.8,98.3,84.9,100.9,73.3,62.8,143.1
,304.2,369.4,405.8,339,428.2,320.6,290.5,312.6,258.8,369.1,298.6,306.1,307.8,325.1,222.9,275.4,389.7,261.9,302.1,404.6
,225.5,196.2,218.2,178.8,183.8,380.7,293.3,221.6,231.1,258.5,180.9,253.2,225.9,246.7,206.7,354.4,375,250.6,282.3,295.1
,228.6,210.9,231.6,128.1,179.1,150.4,183.8,175,192.1,170.3,116.8,142.7,126.5,147.2,88.3,128.5,172.4,129,169.8,184.5
,307.9,309.9,282.7,243.3,351.3,267,248.3,169.5,232.3,168.4,279.8,298.3,360.3,295.7,336.1,322.8,329.8,379.6,258.8,408.3
,182.5,125,122.6,224.4,145.3,143.4,140,203.3,211.5,208.2,161.3,88.6,104.3,154.1,136.5,194.9,94.5,97.4,200.1,165.2
,122.6,84.6,82.3,121.4,113.5,116,72.6,94.4,133.8,185.2,141.4,117.6,122.7,182.7,201,92,83.9,74.4,99.3,77.9
,242.4,241.9,265.2,256.8,265,132.9,144.8,162.8,191,135.5,272.5,208.3,236,232,297.7,293.4,195.1,221.3,204.1,222.2
,122.9,169.2,138,152.3,136.4,226.4,126.7,137.1,112.4,117.4,189.1,183.1,155.6,132.8,102.1,178.5,195.1,137.6,65.2,161.1
,126.7,115.9,86.3,83.1,53.6,140.8,128.3,117.8,90.1,88.9,115.3,72.4,97.1,78.7,63.9,53.3,87.9,109.9,59.4,88.5
,246.8,314.9,307.3,259.8,238.6,214.5,246.2,242.1,192.4,198.8,330.2,298.1,218.4,225.9,235.8,209,290.6,308.2,237.2,232
,88.7,73.5,88.5,54.5,100.3,112.4,65,77.9,99.7,82,75.2,71.1,80.2,47.7,73.5,136.1,172.1,102.9,106.4,55.3
