B/LB,VUS/conflicting,P/LP
-0.95281,-4.94964,-4.93341
-0.86156,-3.91352,-3.3358
-0.33669,-2.80185,-3.06143
0.041713,-2.70539,-2.85215
0.399188,-2.24905,-2.56414
0.580524,-1.99441,-2.37382
0.752569,-1.72816,-2.24734
0.875124,-1.46111,-2.2152
0.977265,-1.44571,-1.97699
1.365575,-1.44343,-1.96206
2.471567,-1.44075,-1.71066
,-1.37388,-1.64109
,-1.34926,-1.51975
,-1.33427,-1.49234
,-1.27618,-1.37231
,-1.23528,-1.32564
,-1.21794,-1.24944
,-1.17928,-1.04998
,-1.15846,-0.94106
,-1.12839,-0.89419
,-1.05435,-0.75224
,-1.03907,-0.64587
,-1.03545,-0.63076
,-0.99747,-0.61896
,-0.98884,-0.52727
,-0.96762,-0.39266
,-0.92761,-0.36499
,-0.9148,-0.15074
,-0.89293,-0.09348
,-0.8917,0.060199
,-0.88911,0.111697
,-0.87699,0.114355
,-0.85381,0.203424
,-0.84328,0.206367
,-0.82425,0.251853
,-0.8234,0.260875
,-0.7282,0.378986
,-0.69366,0.459482
,-0.64515,0.467379
,-0.60906,0.578377
,-0.60107,0.584581
,-0.41962,0.62599
,-0.41947,0.724207
,-0.4029,0.729495
,-0.38737,0.743038
,-0.36761,0.78215
,-0.36091,0.803227
,-0.35115,0.836609
,-0.32819,0.940181
,-0.31719,1.078506
,-0.19736,1.380639
,-0.16945,1.440703
,-0.1495,1.466006
,-0.1386,1.477051
,-0.10932,1.499899
,-0.10754,1.508199
,-0.07876,1.528112
,-0.06806,1.800886
,-0.05063,2.57819
,-0.00763,2.591355
,-0.00569,2.663732
,0.039877,2.810136
,0.045856,3.010819
,0.052786,6.190803
,0.082027,
,0.088991,
,0.170892,
,0.173578,
,0.194959,
,0.201627,
,0.221773,
,0.241212,
,0.277438,
,0.282038,
,0.288223,
,0.289862,
,0.326338,
,0.34222,
,0.343386,
,0.355516,
,0.364891,
,0.368505,
,0.37545,
,0.417372,
,0.421754,
,0.425473,
,0.430475,
,0.439587,
,0.522557,
,0.5572,
,0.616291,
,0.620979,
,0.686534,
,0.767702,
,0.814154,
,0.834489,
,0.842502,
,0.848985,
,0.942196,
,0.95834,
,0.958875,
,0.966902,
,1.000594,
,1.007541,
,1.009671,
,1.022238,
,1.028664,
,1.04938,
,1.078963,
,1.080751,
,1.154569,
,1.171347,
,1.192565,
,1.226918,
,1.248858,
,1.292265,
,1.321161,
,1.334282,
,1.335049,
,1.359137,
,1.369582,
,1.380067,
,1.38664,
,1.407511,
,1.424686,
,1.427032,
,1.442953,
,1.494232,
,1.521566,
,1.558424,
,1.570834,
,1.570892,
,1.588855,
,1.589218,
,1.593047,
,1.599465,
,1.599995,
,1.629681,
,1.633986,
,1.643666,
,1.654981,
,1.688007,
,1.717187,
,1.72349,
,1.782246,
,1.783257,
,1.800031,
,1.825797,
,1.83255,
,1.883553,
,1.964312,
,2.002855,
,2.013336,
,2.028228,
,2.079664,
,2.159815,
,2.159834,
,2.16932,
,2.207811,
,2.358523,
,2.380167,
,2.387621,
,2.400574,
,2.488809,
,2.520439,
,3.023793,
,3.446047,
,3.711472,
,3.781241,
,7.913073,
